joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque 1[Nm], DOB Torque 2[Nm], current_time
1.21629,1.21655,-0.00447275,-0.000524266,-9.39186,-18.7387,23.0563,1.056
1.21627,1.21655,-0.00450498,-0.000559974,-9.40915,-18.776,23.0563,1.06
1.21625,1.21655,-0.00453731,-0.000541424,-9.55045,-18.9361,23.0563,1.064
1.21623,1.21655,-0.00456974,-0.000646282,-9.41073,-18.8696,23.0563,1.068
1.21621,1.21654,-0.00460228,-0.000704537,-9.3771,-18.8145,23.0563,1.072
1.21619,1.21654,-0.00463491,-0.0007369,-9.40262,-18.8132,23.0563,1.076
1.21618,1.21654,-0.00466765,-0.000716492,-9.54879,-18.9559,23.0563,1.08
1.21616,1.21653,-0.00470049,-0.000705154,-9.67483,-19.1449,23.0563,1.084
1.21614,1.21653,-0.00473344,-0.000583692,-10.0527,-19.6138,23.0563,1.088
1.21612,1.21653,-0.00476648,-0.00074654,-9.78301,-19.5625,23.0563,1.092
1.2161,1.21653,-0.00479963,-0.000837011,-9.67789,-19.4589,23.0563,1.096
1.21608,1.21652,-0.00483288,-0.000925661,-9.57678,-19.3119,23.0563,1.1
1.21606,1.21652,-0.00486623,-0.00105169,-9.39027,-19.055,23.0563,1.104
1.21604,1.21651,-0.00489968,-0.00119848,-9.156,-18.6987,23.0563,1.108
1.21602,1.2165,-0.00493323,-0.00139519,-8.80731,-18.1781,23.0563,1.112
1.216,1.2165,-0.00496688,-0.00165803,-8.30692,-17.4272,23.0563,1.116
1.21598,1.21649,-0.00500063,-0.00184244,-7.98423,-16.7429,23.0563,1.12
1.21596,1.21648,-0.00503448,-0.00225199,-7.14707,-15.5614,23.0563,1.124
1.21594,1.21646,-0.00506844,-0.00259468,-6.46026,-14.3112,23.0563,1.128
1.21592,1.21645,-0.00510249,-0.00297701,-5.68125,-12.914,23.0563,1.132
1.2159,1.21644,-0.00513664,-0.00318941,-5.28793,-11.831,23.0563,1.136
1.21588,1.21642,-0.0051709,-0.00338419,-4.9339,-10.9191,23.0563,1.14
1.21586,1.21641,-0.00520525,-0.00349239,-4.77658,-10.2945,23.0563,1.144
1.21584,1.21639,-0.00523971,-0.00351412,-4.81633,-10.0047,23.0563,1.148
